code;label;Reference client;code client;date de validité;Commentaire
ORDER-1;Super commande 1;Chantier 1;XEGID310;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-2;Super commande 2;Chantier 2;NEFSF031;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-3;Super commande 3;Chantier 3;NEFSF031;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-4;Super commande 4;Chantier 4;NEFSF031;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-5;Super commande 5;Chantier 5;XEGID310;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-6;Super commande 6;Chantier 6;UCPAG411;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-7;Super commande 7;Chantier 7;QQBTW134;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-8;Super commande 8;Chantier 8;UCPAG411;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-9;Super commande 9;Chantier 9;QQBTW134;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-10;Super commande 10;Chantier 10;XEGID310;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-11;Super commande 11;Chantier 11;NEFSF031;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-12;Super commande 12;Chantier 12;NEFSF031;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-13;Super commande 13;Chantier 13;NEFSF031;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-14;Super commande 14;Chantier 14;XEGID310;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-15;Super commande 15;Chantier 15;UCPAG411;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-16;Super commande 16;Chantier 16;QQBTW134;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-17;Super commande 17;Chantier 17;UCPAG411;25/06/2024;commentaire ou je ne sais pas quoi dire
ORDER-18;Super commande 18;Chantier 18;QQBTW134;25/06/2024;commentaire ou je ne sais pas quoi dire
